"年","月","日","時","分","縣市","區","死","受傷","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","受傷程度","主要傷處","保護裝備","行動電話","當事者區分","車輛用途","當事者行動狀態","駕駛資格情形","駕駛執照種類","飲酒情形","車輛撞擊部位最初","車輛撞擊部位其他","肇事因素個別","肇事因素主要","肇事逃逸","職業","旅次目的","車種","GPS座標緯度","GPS座標經度","事故類別"
"2019","3","1","14","0","臺中市","烏日區","0","1","8","1","5","70","4","1","1","5","4","5","7","2","1","1","4","4","1","16","6","3","10","1","1","B03","7","6","1","8","2","6","","6","6","1","21","8","B03","24.106175","120.614991","2"
"2019","3","1","14","0","臺中市","大雅區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","17","","1","22","","B03","24.21157","120.65004","3"
"2019","3","1","14","8","臺中市","北屯區","0","1","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","16","6","3","10","1","1","B03","7","6","1","8","9","2","","6","6","1","5","8","B03","24.182266","120.690738","2"
"2019","3","1","14","21","臺中市","西區","0","1","8","1","5","50","5","1","1","5","4","5","7","4","4","1","5","1","2","17","23","2","8","1","1","C03","7","9","1","10","2","14","","23","23","1","21","8","C03","24.14967","120.670946","2"
"2019","3","1","14","22","臺中市","新社區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.202825","120.79755","3"
"2019","3","1","14","27","臺中市","北區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","7","","1","5","","B03","24.148835","120.687161","3"
"2019","3","1","14","29","臺中市","西區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","10","","1","21","","B03","24.150856","120.664298","4"
"2019","3","1","14","30","臺中市","西屯區","0","0","8","","","60","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","7","","1","22","","B03","24.18025","120.621296","3"
"2019","3","1","14","30","臺中市","清水區","0","1","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","16","23","2","8","4","5","F03","7","6","8","20","7","16","","23","23","1","22","8","F03","24.27308","120.574787","2"
"2019","3","1","14","38","臺中市","北區","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","19","","1","22","","B03","24.1508","120.6805","3"
"2019","3","1","14","40","臺中市","北屯區","0","0","8","","","50","","","","","","","","","","","","","","","43","","","","","C03","","","7","","11","","","43","43","1","22","","C03","24.170396","120.693256","3"
"2019","3","1","14","40","臺中市","霧峰區","0","0","8","","","60","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","25","","1","21","","B12","24.059875","120.663055","3"
"2019","3","1","14","46","臺中市","西屯區","0","2","8","1","5","50","14","7","1","5","4","5","7","4","4","5","4","4","2","16","10","2","7","1","1","C03","7","11","1","10","2","12","","10","10","1","22","8","C03","24.164566","120.660323","2"
"2019","3","1","14","48","臺中市","西區","0","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","13","23","","","","","A02","","","1","","2","","","23","23","1","10","","A02","24.136325","120.681715","3"
"2019","3","1","14","54","臺中市","北區","0","2","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","9","2","12","","6","6","1","22","8","C03","24.156314","120.696952","2"
"2019","3","1","15","0","臺中市","南區","0","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","17","23","3","10","1","1","B03","7","5","1","8","2","5","","6","23","1","22","8","B03","24.10795","120.657853","3"
"2019","3","1","15","2","臺中市","沙鹿區","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","18","","1","4","","B03","24.240862","120.570309","3"
"2019","3","1","15","3","臺中市","北屯區","0","0","8","","","50","","","","","","","","","","","","","","","6","","","","","B03","","","1","","2","","","6","6","1","22","","B03","24.18348","120.690444","3"
"2019","3","1","15","4","臺中市","北區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","19","","1","","","B03","24.172268","120.674509","3"
"2019","3","1","15","14","臺中市","北區","0","2","8","1","5","50","14","8","1","5","4","5","7","1","1","5","4","4","2","13","16","2","9","1","1","C03","7","9","1","10","2","11","","16","16","1","21","8","C03","24.151388","120.687777","2"
"2019","3","1","15","20","臺中市","神岡區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","19","","B03","24.262108","120.703479","3"
"2019","3","1","15","24","臺中市","西屯區","0","0","8","","","60","","","","","","","","","","","","","","","23","","","","","B03","","","1","","2","","","23","23","1","","","B03","24.162828","120.649378","3"
"2019","3","1","15","30","臺中市","西屯區","0","1","8","1","5","50","4","1","1","5","4","5","7","2","1","10","5","5","2","16","10","3","10","1","1","B03","7","11","1","8","2","5","","10","10","1","21","8","B03","24.160272","120.636161","2"
"2019","3","1","15","31","臺中市","北區","0","1","8","1","5","50","4","2","1","5","4","5","7","2","1","1","2","4","2","17","23","2","9","3","4","B03","7","9","1","5","2","1","","23","23","1","22","9","B03","24.155866","120.698931","2"
"2019","3","1","15","33","臺中市","南區","0","2","8","1","5","50","14","7","1","5","4","5","7","4","4","5","4","4","2","11","11","2","9","1","1","C03","7","11","1","10","2","11","","11","11","1","20","5","C03","24.113233","120.661306","2"
"2019","3","1","15","39","臺中市","后里區","0","1","8","1","5","50","5","1","1","5","4","5","7","4","4","10","5","5","1","11","8","3","10","3","4","B03","7","5","1","8","2","4","","8","8","1","22","8","B03","24.315926","120.686668","2"
"2019","3","1","15","40","臺中市","南屯區","0","0","8","","","50","","","","","","","","4","","","","","","","7","3","","","","B03","","","1","","2","","","7","7","1","21","","B03","24.150638","120.633317","3"
"2019","3","1","15","42","臺中市","沙鹿區","0","0","8","","","40","","","","","","","","","","","","","","","23","","","","","A04","","","1","","2","","","23","23","","","","A04","24.226992","120.575798","3"
"2019","3","1","15","44","臺中市","烏日區","0","1","8","1","5","40","4","1","1","5","4","5","7","1","1","10","5","5","2","16","25","2","9","1","1","C03","7","9","1","10","2","11","","25","25","1","21","8","C03","24.116676","120.640399","2"
