年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分_類別,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標_緯度,GPS座標_經度,事故類別
2018,11,1,8,6,臺中市,豐原區,0,0,0,8,1,6,5,14,9,1,4,4,5,7,4,4,5,4,5,1,17,67,3,10,1,1,B12,7,3,1,8,2,1,  ,67,67,1,4,8,B12,24.253544,120.747811,3
2018,11,1,8,20,臺中市,烏日區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,1,4,4,1,17,23,2,9,1,1,C03,7,9,1,10,2,12,  ,23,23,1,21,8,C03,24.104286,120.629716,2
2018,11,1,8,20,臺中市,清水區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,  ,,B12,24.275513,120.561376,3
2018,11,1,8,22,臺中市,西屯區,0,1,0,8,1,5,40,14,7,1,5,4,5,7,4,4,5,4,4,2,12,42,2,9,1,1,C03,7,9,1,10,2,14,  ,42,42,1,22,8,C03,24.168208,120.641272,2
2018,11,1,8,23,臺中市,大雅區,0,1,0,7,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,1,12,19,3,10,1,1,B12,7,1,1,8,2,7,  ,19,19,1,22,9,B12,24.22156,120.647065,2
2018,11,1,8,28,臺中市,西屯區,0,1,0,8,1,5,40,14,8,1,4,4,5,7,4,4,1,4,4,2,17,42,2,8,1,1,C03,7,15,1,10,2,14,12,42,42,1,22,8,C03,24.180268,120.620643,2
2018,11,1,8,29,臺中市,南區,0,0,0,,,,,,,,,,,,,,,,,,,23,3,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,23,23,1,22,  ,B03,24.131288,120.680938,3
2018,11,1,8,30,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,16,,1,22,,C03,24.171675,120.636991,3
2018,11,1,8,36,臺中市,北區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,12,6,2,7,3,4,C03,7,6,1,10,2,12,  ,6,6,1,5,8,C03,24.152815,120.685274,2
2018,11,1,8,37,臺中市,沙鹿區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,10,5,5,2,18,43,2,9,1,4,C03,7,21,1,10,2,15,  ,43,43,1,21,8,C03,24.250213,120.586272,2
2018,11,1,8,44,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,C03,7,5,1,10,2,12,  ,6,6,1,5,8,C03,24.160402,120.675524,2
2018,11,1,8,45,臺中市,大里區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,11,  ,6,6,1,20,8,C03,24.070768,120.680148,2
2018,11,1,8,47,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.163559,120.628054,3
2018,11,1,8,50,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.165128,120.650461,3
2018,11,1,8,50,臺中市,龍井區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,17,42,3,10,1,4,C03,7,4,1,10,2,13,  ,42,42,1,22,8,C03,24.180949,120.590287,2
2018,11,1,8,54,臺中市,北區,0,1,0,8,1,8,50,4,2,1,5,4,5,7,2,1,5,4,5,2,17,23,2,9,1,1,C03,7,9,1,10,2,11,  ,23,23,1,22,8,C03,24.1463,120.686,2
2018,11,1,8,55,臺中市,北區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,  ,,B03,24.157103,120.675159,3
2018,11,1,8,56,臺中市,后里區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,13,23,3,10,1,1,B12,7,5,6,8,2,4,  ,44,23,1,21,9,B12,24.329303,120.712081,2
2018,11,1,9,0,臺中市,霧峰區,0,0,,8,,,80,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,42,,1,21,,B12,24.068457,120.690498,3
2018,11,1,9,3,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,3,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,42,42,  ,5,  ,B03,24.159221,120.666962,3
2018,11,1,9,9,臺中市,西屯區,0,1,0,8,1,5,40,3,2,1,5,4,5,7,4,4,5,5,5,2,16,8,3,10,1,1,C03,7,5,1,10,2,14,  ,8,8,1,22,8,C03,24.176552,120.648094,2
2018,11,1,9,15,臺中市,梧棲區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,2,  ,6,6,1,12,8,B03,24.254652,120.535077,2
2018,11,1,9,21,臺中市,沙鹿區,0,1,0,7,1,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,5,  ,6,6,1,5,5,B03,24.243231,120.562698,2
2018,11,1,9,32,臺中市,西屯區,0,0,0,8,1,5,50,,,,,,,,,,,,,,,16,  ,  ,  ,  ,B12,  ,  ,1,  ,2,8,  ,16,16,1,22,  ,B12,24.182015,120.635269,3
2018,11,1,9,34,臺中市,北區,0,3,0,8,1,5,50,14,7,1,4,4,5,7,4,4,5,4,5,2,17,26,2,9,1,1,C03,7,7,1,10,2,11,  ,26,26,1,22,8,C03,24.167,120.677,2
2018,11,1,9,34,臺中市,烏日區,0,1,0,8,1,5,40,13,9,1,5,4,5,7,4,4,10,5,5,2,11,23,3,10,1,1,B11,7,9,1,2,2,1,  ,23,23,1,10,8,B11,24.118562,120.60575,2
2018,11,1,9,35,臺中市,大里區,0,0,0,8,1,5,50,14,8,1,5,4,5,7,4,4,9,5,4,2,17,42,3,10,1,1,C03,7,15,1,10,2,11,  ,42,42,1,20,2,C03,24.112088,120.677726,3
2018,11,1,9,39,臺中市,南區,0,1,0,8,1,5,50,14,6,1,5,4,5,7,4,4,5,4,4,2,16,26,2,9,1,1,C03,7,9,1,10,2,12,  ,26,26,1,22,9,C03,24.127006,120.668034,2
2018,11,1,9,41,臺中市,南區,0,0,0,8,1,5,50,14,8,1,5,4,5,7,4,4,3,4,4,2,17,23,3,10,1,1,B03,7,15,1,8,2,2,  ,23,23,1,21,8,B03,24.127659,120.667013,3
2018,11,1,9,44,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,  ,  ,  ,  ,B12,  ,  ,1,  ,2,  ,  ,42,42,1,22,  ,B12,24.173963,120.656344,3
2018,11,1,9,50,臺中市,太平區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,2,16,8,2,9,1,1,C03,7,5,1,10,11,13,  ,8,8,1,21,8,C03,24.130647,120.724077,2
2018,11,1,9,52,臺中市,北區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,A02,,,1,,2,,,23,,1,  ,,A02,24.160287,120.665398,3
2018,11,1,9,52,臺中市,南屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,26,  ,  ,  ,  ,B12,  ,  ,1,8,2,  ,  ,26,26,1,12,  ,B12,24.125855,120.631666,3
2018,11,1,9,53,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,  ,  ,  ,  ,B03,  ,  ,1,8,2,  ,  ,23,23,1,12,  ,B03,24.135129,120.645855,3
2018,11,1,10,5,臺中市,北屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,15,25,2,9,1,1,C03,7,9,1,10,2,12,  ,25,25,1,21,8,C03,24.200878,120.683138,2
2018,11,1,10,7,臺中市,大里區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,1,1,5,2,4,2,16,25,3,10,1,1,B03,7,5,1,8,2,6,  ,25,25,1,22,8,B03,24.100253,120.693821,2
2018,11,1,10,9,臺中市,北區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,17,23,3,10,1,1,B03,7,9,1,8,7,5,  ,23,23,1,22,8,B03,24.161,120.6823,2
2018,11,1,10,15,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,9,,B03,24.087743,120.705455,3
2018,11,1,10,19,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.172136,120.63732,3
2018,11,1,10,25,臺中市,南區,0,0,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,16,23,3,10,1,1,B03,7,9,1,8,2,2,  ,23,23,1,22,8,B03,24.11927,120.662378,3
2018,11,1,10,25,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,,1,21,,B03,24.173355,120.671668,3
2018,11,1,10,30,臺中市,霧峰區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,12,,1,10,,B12,24.075978,120.702475,3
2018,11,1,10,39,臺中市,西屯區,0,1,0,8,1,5,40,3,2,1,5,4,5,7,4,4,5,4,4,2,16,13,2,9,1,1,C03,7,9,1,10,2,14,  ,13,13,1,22,8,C03,24.182127,120.617036,2
2018,11,1,10,39,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,  ,,B12,24.104925,120.689125,3
2018,11,1,10,51,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.168239,120.692993,3
2018,11,1,11,0,臺中市,大里區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,10,,B12,24.078676,120.689011,3
2018,11,1,11,5,臺中市,新社區,0,0,0,8,,,40,,,,,,,,,,,,,,,17,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,17,17,1,9,  ,B03,24.156693,120.829473,3
2018,11,1,11,9,臺中市,西區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,4,4,10,5,5,2,13,16,3,10,1,1,B12,7,9,1,4,2,5,  ,16,16,1,21,8,B12,24.15472,120.659816,2
2018,11,1,11,10,臺中市,沙鹿區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,1,  ,6,6,1,5,8,B03,24.236872,120.561865,2
2018,11,1,11,26,臺中市,大雅區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,5,,1,  ,,B03,24.22938,120.662852,3
2018,11,1,11,29,臺中市,北屯區,0,0,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,5,3,8,2,5,  ,6,6,1,2,8,B03,24.201388,120.665277,3
2018,11,1,11,29,臺中市,大肚區,0,1,0,8,1,5,50,11,9,1,5,4,5,7,4,4,4,5,4,2,11,4,2,8,1,1,B03,7,9,1,8,2,1,  ,4,4,1,20,8,B03,24.157533,120.549841,2
2018,11,1,11,30,臺中市,西區,0,2,0,8,1,5,50,5,1,1,5,4,5,7,2,1,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,14,  ,6,6,1,21,8,C03,24.150818,120.669837,2
2018,11,1,11,30,臺中市,南區,0,0,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,42,3,10,1,1,B03,7,15,1,8,2,5,  ,42,42,1,22,8,B03,24.129906,120.662018,3
2018,11,1,11,30,臺中市,北屯區,0,4,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,25,2,9,1,1,B03,7,5,1,8,2,2,  ,25,25,1,3,8,B03,24.181905,120.72141,2
2018,11,1,11,30,臺中市,北屯區,0,1,0,8,1,5,40,11,9,1,5,4,5,7,4,4,10,5,5,1,18,23,2,9,1,1,C03,7,9,1,10,2,12,  ,23,23,1,21,8,C03,24.184221,120.785626,2
2018,11,1,11,31,臺中市,西屯區,0,0,0,8,1,5,40,,,,,,,,,,,,,,,19,  ,  ,  ,  ,B03,  ,  ,1,  ,2,1,  ,19,19,1,22,  ,B03,24.196715,120.647994,3
2018,11,1,11,39,臺中市,大雅區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,9,4,5,1,17,25,2,9,1,1,C03,7,9,1,10,2,11,  ,25,25,1,22,9,C03,24.222917,120.648015,2
2018,11,1,11,40,臺中市,北區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,  ,,B03,24.170059,120.669522,3
2018,11,1,11,40,臺中市,大雅區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,6,,1,  ,,C03,24.226399,120.657167,3
2018,11,1,11,41,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,12,,,,,C03,,,8,,10,,,44,12,  ,22,,C03,24.090709,120.700446,3
2018,11,1,11,55,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,26,,1,20,,C03,24.115178,120.682916,3
2018,11,1,12,10,臺中市,大雅區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,16,,  ,  ,,B03,24.221047,120.648385,3
2018,11,1,12,15,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.153927,120.616682,3
2018,11,1,12,15,臺中市,霧峰區,0,0,0,8,1,5,50,14,13,1,5,4,5,7,4,4,10,5,5,2,14,12,3,10,1,1,B12,7,2,1,8,9,3,  ,12,12,1,21,8,B12,24.067447,120.701471,3
2018,11,1,12,20,臺中市,大雅區,0,1,0,8,1,5,50,11,8,1,5,4,5,7,4,4,9,4,5,1,12,19,3,10,1,1,C03,7,1,1,10,2,14,  ,19,19,1,22,9,C03,24.2398,120.65687,2
2018,11,1,12,24,臺中市,中區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,2,1,10,5,5,2,12,42,2,9,1,1,C03,7,9,2,18,2,12,  ,42,42,1,21,8,C03,24.143258,120.678613,2
2018,11,1,12,29,臺中市,北屯區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,5,5,5,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,  ,23,23,1,22,8,C03,24.169626,120.703208,2
2018,11,1,12,31,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,22,,B03,24.179066,120.61913,3
2018,11,1,12,38,臺中市,北屯區,0,1,0,8,1,5,50,4,18,1,5,4,5,7,1,1,10,5,5,2,3,15,3,10,1,1,B03,7,5,1,8,2,5,  ,15,15,1,4,8,B03,24.1684,120.6853,2
2018,11,1,12,46,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,25,,1,22,,B03,24.145596,120.632419,3
2018,11,1,12,55,臺中市,北區,0,0,,8,1,5,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,26,,1,5,,B03,24.159188,120.672562,3
2018,11,1,13,0,臺中市,和平區,0,0,0,,,,,,,,,,,,,,,,,,,16,  ,  ,  ,  ,B12,  ,  ,3,  ,2,  ,  ,16,16,1,  ,  ,B12,24.165286,120.947947,3
