年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分_類別,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
2018,12,1,12,30,臺中市,大甲區,0,0,0,8,1,5,40,14,9,1,5,4,5,7,4,4,10,5,5,,14,12,3,10,1,1,B03,7,2,1,8,2,3,  ,12,12,1,2,6,B03,24.349511,120.617348,3
2018,12,1,12,33,臺中市,北區,0,0,,8,,,50,,,,,,,,,,,,,,,25,,,,,C03,,,1,,2,,,44,25,1,22,,C03,24.161552,120.685062,3
2018,12,1,12,36,臺中市,潭子區,0,1,0,8,1,5,40,14,9,1,5,4,5,7,4,4,10,5,5,1,12,23,3,10,1,1,B03,7,9,1,10,2,4,  ,23,23,1,22,8,B03,24.206299,120.73902,2
2018,12,1,12,40,臺中市,東區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B02,,,1,,2,,,12,,1,  ,,B02,24.145601,120.695006,3
2018,12,1,12,40,臺中市,大里區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,16,9,3,10,1,1,B12,7,6,1,7,2,6,  ,9,9,1,22,5,B12,24.08346,120.696765,2
2018,12,1,12,44,臺中市,神岡區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,6,3,10,3,4,B03,7,6,1,8,2,2,  ,6,6,1,22,9,B03,24.246706,120.682913,2
2018,12,1,12,47,臺中市,霧峰區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,4,,,21,,1,21,,B03,24.05832,120.702768,3
2018,12,1,12,51,臺中市,大里區,0,0,0,8,1,5,50,4,2,1,5,4,5,7,1,1,10,5,5,2,12,17,3,10,1,1,B03,7,9,1,8,2,5,  ,17,17,1,5,8,B03,24.087103,120.702266,3
2018,12,1,12,53,臺中市,南屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,  ,,B03,24.130214,120.643966,3
2018,12,1,12,54,臺中市,南屯區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,3,15,2,9,1,1,C03,7,9,1,10,2,12,  ,15,15,1,22,8,C03,24.122746,120.648641,2
